Time_ns,RMSD_A,Compound,Replicate,Efficacy_Type
41.0,4.0223343917912135,ARI,2,Partial Agonist
41.1,4.285377035620888,ARI,2,Partial Agonist
41.2,3.4823133497201777,ARI,2,Partial Agonist
41.3,3.417849041477425,ARI,2,Partial Agonist
41.4,3.5242482873017575,ARI,2,Partial Agonist
41.5,5.580638106345915,ARI,2,Partial Agonist
41.6,5.112330550580256,ARI,2,Partial Agonist
41.7,4.1310161014971465,ARI,2,Partial Agonist
41.8,5.159676005677389,ARI,2,Partial Agonist
41.9,4.488496021464578,ARI,2,Partial Agonist
42.0,3.3333023498320387,ARI,2,Partial Agonist
42.1,4.118254634996693,ARI,2,Partial Agonist
42.2,4.7179008027970015,ARI,2,Partial Agonist
42.3,4.065285380567652,ARI,2,Partial Agonist
42.4,4.813723137087495,ARI,2,Partial Agonist
42.5,5.173747232908394,ARI,2,Partial Agonist
42.6,4.929102308278558,ARI,2,Partial Agonist
42.7,5.264772680788722,ARI,2,Partial Agonist
42.8,4.599238565238913,ARI,2,Partial Agonist
42.9,4.351261332576122,ARI,2,Partial Agonist
43.0,4.795204897917178,ARI,2,Partial Agonist
43.1,4.734978100755068,ARI,2,Partial Agonist
43.2,2.722919377842134,ARI,2,Partial Agonist
43.3,2.148148289818267,ARI,2,Partial Agonist
43.4,1.9794801939729894,ARI,2,Partial Agonist
43.5,2.898523950262843,ARI,2,Partial Agonist
43.6,2.688505818281406,ARI,2,Partial Agonist
43.7,2.32135277264871,ARI,2,Partial Agonist
43.8,2.7564941325306846,ARI,2,Partial Agonist
43.9,3.188782958930763,ARI,2,Partial Agonist
44.0,3.7286687963059633,ARI,2,Partial Agonist
44.1,4.200606487915174,ARI,2,Partial Agonist
44.2,3.0400080021596514,ARI,2,Partial Agonist
44.3,4.7650186075081855,ARI,2,Partial Agonist
44.4,4.776476813459144,ARI,2,Partial Agonist
44.5,4.358685148365469,ARI,2,Partial Agonist
44.6,5.847921835560737,ARI,2,Partial Agonist
44.7,4.624969133233766,ARI,2,Partial Agonist
44.8,3.276972637032731,ARI,2,Partial Agonist
44.9,3.2902764744876984,ARI,2,Partial Agonist
45.0,2.9078457226667322,ARI,2,Partial Agonist
45.1,2.960963938460649,ARI,2,Partial Agonist
45.2,3.2517684618883207,ARI,2,Partial Agonist
45.3,3.949299415104665,ARI,2,Partial Agonist
45.4,4.505459544250896,ARI,2,Partial Agonist
45.5,4.184209683671971,ARI,2,Partial Agonist
45.6,4.597787752300598,ARI,2,Partial Agonist
